sim,front,mid,back,lat_left,lat_right,coronal,condition,GGP,GGM,GGA,STY,MH,HG,TRANS,VERT,SL,IL,JAW.OPEN,JAW.CLOSE
54943,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0.1,0,0,0.25,0.25,0.1,0,0.0015
55168,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0,0.25,0,0,0,0.25,0.1,0,0.0015
55183,0,0,0,1,2,0,5mm,0.25,0.25,0.1,0,0.25,0,0,0.25,0.1,0.1,0,0.0015
55655,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0.1,0.1,0,0,0,0.25,0.25,0,0.0015
55899,0,0,0,1,1,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0.1,0,0,0,0.0015
55907,0,0,0,2,3,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0.1,0.25,0.25,0,0.0015
55916,0,0,0,2,3,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0,0.25,0.25,0.25,0,0.0015
55924,0,0,0,2,2,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0.1,0,0.25,0.1,0,0.0015
55932,0,0,0,2,1,0,5mm,0.25,0.25,0.1,0.1,0.25,0,0.1,0.1,0.25,0,0,0.0015
57111,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0.1,0,0,0,0.25,0,0,0.0015
57119,0,0,0,1,1,0,5mm,0.25,0.25,0.25,0,0.1,0,0,0.1,0.1,0.25,0,0.0015
57127,0,0,0,1,2,0,5mm,0.25,0.25,0.25,0,0.1,0,0,0.25,0.1,0.1,0,0.0015
57362,0,0,0,1,2,0,5mm,0.25,0.25,0.25,0,0.25,0,0,0.1,0.1,0.25,0,0.0015
